ID,Date,Sex,TL,FL,PCL
BH6,8/27/16,F,90.4,76.7,70.3
BH1,9/10/16,F,105.9,83.1,76.7
BH2,9/10/16,F,102.1,79.3,72.5
BH3,9/10/16,M,99.9,78.7,71.3
BH4,9/10/16,M,#N/A,#N/A,#N/A
BH5,9/10/16,M,85.3,65.5,60.2
BH6,9/10/16,M,89.4,71.7,65.4
BT1,9/17/16,M,140.4,110.1,101.3
Cleu_Gal05,9/18/16,M,210.4,172.9,155.7
BH1,9/24/16,F,67.7,51.8,48.2
BH2,9/24/16,F,54.8,49.3,44.9
BH3,9/24/16,F,84.5,65,58.9
BH4,9/24/16,F,74.8,58.1,52.2
BH5,9/24/16,M,61.6,52,47.1
BH6,9/24/16,F,79.9,62.4,56.4
BH7,9/24/16,M,97.6,78.4,72.2
BH8,9/24/16,M,98.1,76.3,70.5
BH9,9/24/16,F,107.5,86.8,79.6
BH10,9/24/16,F,103.7,,76.2
BH11,9/24/16,F,100.4,80.5,72.6
BH12,9/24/16,M,97,76.8,70.8
BT1,10/1/16,M,88.2,68.5,61.8
BT2,10/1/16,M,153.9,119.9,109.9
BT3,10/1/16,F,156.6,129.4,116
BT4,10/1/16,M,129.1,103.4,93
BH1,10/1/16,F,105.4,84,77.3
BH2,10/1/16,F,92.8,72.2,65.9
BH3,10/1/16,F,99.3,98.8,71.2
BH4,10/1/16,M,95.4,76.9,69.5
BH5,10/1/16,F,109.8,88.9,81.4
BH6,10/1/16,F,124.5,106,93.2
BH7,10/1/16,M,89.2,79.1,73.2
BH8,10/1/16,F,102.2,79.2,72.9
BH9,10/1/16,F,111.6,87,81.4
BH10,10/1/16,F,105.4,84.8,79.7
BH11,10/1/16,M,92.8,74.7,67.6
BH12,10/1/16,F,95.5,77.8,70.4
BH13,10/1/16,M,87.4,67.6,62.9
Cleu_Ara10,5/15/14,M,74.4,59.5,53.9
Cleu_Sab11,5/20/14,M,90.6,72.7,65.5
Cleu_Sab07,4/29/14,M,83.6,66.4,60.1
Cleu_Sab08,4/29/14,F,79.1,62.5,56.6
Cleu_Dic01,NA,M,92.0,72.0,66.2
Cleu_Dic65,6/8/16,F,87.3,68.6,61.4
Cleu_Dic64,6/8/16,M,69.9,54.9,49.8
Cleu_Dic62,6/8/16,M,102.4,80.0,72.8
Cleu_Dic56,9/16/15,M,107.0,86.5,78.5
Cleu_Dic52,10/6/15,M,92.9,75.0,67.9
BH6,8/5/16,,,,
